OSN,LAT,LONG,ALT,SDMT,BIO_N,BIO_C,BRG_N,BRG_C,ACANTHACEA,AIZOACEAE,AMARANTHAC,LANNEA_SCL,ILEX_MITIS,AMBROSIEAE,ARTEMISIA,STOEBE,SENECIO,TARCHONANT,AVICENNIA,BALANITES,CAESALPINI,CAPPARIDAC,CLUSIACEAE,COMBRETACE,CONNARACEA,AFROCRANIA,CUPRESSACE,CYPERACEAE,DIDIERACEA,DILLENIACE,EPHEDRA,ERICACEAE,ALCHORNEA,BRIDELIA,CHROZOPHOR,DRYPETES_T,MACARANGA_,FLUEGGEA_T,TETRORCHID,UAPACA,CAMPYLOSTE,SACOGLOTTI,HYMENOCARD,HYPERICUM,ICACINACEA,IRVINGIA_T,HUGONIA,LOBELIA,ANTHOCLEIS,NUXIA_TYPE,MALPIGHIAC,MELIACEAE,ACACIA,CALPOCALYX,DICHROSTAC,ENTADA_TYP,PARKIA,MORACEAE,MYRICA,PYCNANTHUS,MYRSINE_AF,RAPANEA,SYZYGIUM_T,NYCTAGINAC,CAMPYLOSPE,LOPHIRA,SAUVAGESIA,OLEA,BORASSUS_H,ELAEIS_GUI,POACEAE,PODOCARPUS,PROTEACEAE,RHAMNACEAE,RHIZOPHORA,ALCHEMILLA,CLIFFORTIA,HAGENIA_AB,PRUNUS,RUBUS,ANTHOSPERM,IXORA_TYPE,MITRACARPU,ZANTHOXYLU,SALVADORA,ALLOPHYLUS,BLIGHIA,DODONAEA,SAPOTACEAE,COLA_TYPE,TAMARIX,CHRISTIANA,TILIA_TYPE,TRIBULUS,CELTIS,HOLOPTELEA,URTICACEAE,FAGONIA,ZYGOPHYLLU,MICRODESMI,TYPHA,ASTERACEAE,CONYZA_TYP,ACALYPHA,NYMPHAEA,EUPHORBIA_,RHUS_TYPE,PHOENIX,EUCALYPTUS,PINUS,HELICHRYSU,SPERMACOCE,FABACEAE_U,PLANTAGO,EUPHORBIAC,EUCLEA,CICHORIEAE,RUBIACEAE_,INDIGOFERA,TREMA_TYPE,CARYOPHYLL,PULICARIA_,RUMEX,BRASSICACE,APIACEAE,LAMIACEAE,PTERIDOPHY
11,22.486,59.745,0,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,0.378787879,0,25.75757576,0,0,0,2.840909091,0,0,0,6.25,0,0,0,0,0,0,0,0,21.59090909,0,0,0.378787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189393939,0,0,0.946969697,0,0,0,0,0,0,0,0,0,0,0,0.378787879,0,0,17.61363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189393939,0,0,0.378787879,0,0,0,0,0,0.189393939,0,3.598484848,0,0,0,15.71969697,0,0,1.325757576,0,0,0,0,0,0,0,0.757575758,0,0,0.189393939,0,0,0,0,0,0.757575758,0,0.378787879,0,0.189393939
12,23.271,58.92,4,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,3.191489362,0,15.95744681,0,0,0,1.063829787,0,0,0,1.063829787,0,0,0,0,0,0,0,0,14.89361702,0,0,2.127659574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127659574,0,0,1.063829787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.27659574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.191489362,0,0,0,0,0,0,0,0,0,0,1.063829787,0,0,0,9.574468085,0,0,2.127659574,0,0,0,2.127659574,0,0,0,0,0,0,11.70212766,0,0,0,0,0,2.127659574,0,0,0,5.319148936
13,22.446,59.691,48,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,0.055325035,0,7.662517289,0,0,0,0.553250346,0,0,0,0,0,0.027662517,0,0,0,0,0,0,2.544951591,0,0,0.470262794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165975104,0,0,0.248962656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16320885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221300138,0,0,0.055325035,0,0,0.276625173,0,0,0.027662517,0,17.95297372,0,0,0,53.77593361,0,0,0.885200553,0,0,0,0.055325035,0,0,0,0,0,0,0.248962656,0,0,0,0,0,0.193637621,0,0.359612725,0,0.055325035
14,22.561,59.541,0,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,0,0,23.33333333,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,31.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,3.333333333,0,6.666666667,0,0,0,1.666666667,0,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,22.561,59.529,1,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,0.213675214,0,18.37606838,0,0,0,2.136752137,0,0,0,0,0,0,0.213675214,0,0,0,0,0,20.94017094,0,0,0.641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.709401709,0,0,1.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.42735043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427350427,0,0,0,0,0,1.068376068,0,0,0.213675214,0,1.923076923,0,0,0,23.07692308,0,0,0,0,0,0,0.213675214,0,0,0,0,0,0,1.068376068,0,0,0,0,0,0,0,0.213675214,0.213675214,0
16,22.687,59.344,458,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,0.289855072,0,1.835748792,0,0,0,0.676328502,0,0,0,0,0,0,0.096618357,0,0,0,0,0,2.125603865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.637681159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193236715,0,0,68.98550725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193236715,0,0,0.096618357,0,0,0.289855072,0,0,0,0.289855072,0,0,0,0,12.2705314,0,0,0,0,0,0,0.193236715,0,0,0,1.93236715,0,0,1.449275362,0,0,0,0,2.70531401,0,0.193236715,0,0,1.54589372
17,22.907,59.089,572,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,13.82488479,0,5.529953917,0,0,0,1.843317972,0,0,0,0,0,0,0,0,1.382488479,0,0,0,7.373271889,0,0,1.382488479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.382488479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.78341014,0.230414747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460829493,0,0,0.460829493,0,0,0.460829493,0,0,0,2.764976959,0,0,0,0,6.221198157,0,0,4.838709677,0,0,0,0,0,0,0,0.921658986,0,0,4.147465438,0,0,0,0,4.377880184,0.230414747,0,0.230414747,0.230414747,0.921658986
18,22.918,59.095,667,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,0,0,8.143322476,0,0,0,0.651465798,0,0,0,0,0,0,0.16286645,0,0.16286645,0,0,0,41.53094463,0,0,0.814332248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814332248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16286645,0,0,15.63517915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651465798,0,0,0.325732899,0,0,0.488599349,0,0,0,0,0,0,0,0,13.35504886,0,0,0.16286645,0,0,0,0,0,0,0,0.325732899,0,0,1.791530945,0,0,0,0,2.442996743,0,0,0,0,12.37785016
19,23.196,57.137,959,Surface,"Temperate Grasslands, Savannas, and Shrublands",8,Al Hajar montane woodlands,1,0,0,22.88828338,0,0,0,0.544959128,0,0,0,0,0,0,0,0,0,0,0,0,12.26158038,0,0,1.36239782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.98637602,0,0,0,0,0,0,0,0,0,2.997275204,0,0,0,0,1.36239782,0,0,12.26158038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817438692,0,0,0.544959128,0,0,1.089918256,0,0,0,0.272479564,0,0,0,0,7.356948229,0,0,11.44414169,0,0,0,0,0,0,0,0.272479564,0,0,0,0,0,0,0,1.634877384,1.907356948,0,0,5.722070845,0.272479564
20,23.196,57.137,959,Surface,"Temperate Grasslands, Savannas, and Shrublands",8,Al Hajar montane woodlands,1,0.318471338,0,32.48407643,0,0,0,0.636942675,0,0,0,0,0,0,0,0,0.318471338,0,0,0,9.23566879,0,0,0.636942675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.229299363,0,0,0.636942675,0,0,0,0,0,0,0,0,0,0,0,0.318471338,0,0,20.38216561,0,0,0.636942675,0,0,0,0,0,0,0,0,0,0,0,0,0,2.229299363,0,0,2.229299363,0,0,1.27388535,0,0,0,0,0,0,0,0,2.866242038,0,0,4.458598726,0,0,0,0,0,0,0,0.318471338,0,0,13.69426752,0,0,0,0,2.547770701,1.592356688,0,0.955414013,0,0
21,23.294,56.567,413,Surface,"Temperate Grasslands, Savannas, and Shrublands",8,Al Hajar montane woodlands,1,0,0,45.45454545,0,0,0,1.893939394,0,0,0,0,0,0,0,0,0,0,0,0,9.46969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.10606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.515151515,0,0,0.378787879,0,0,0.757575758,0,0,0,0.757575758,1.136363636,0,0,0,0.378787879,0,0,3.787878788,0,0,0,0,0,0,0,1.136363636,0,0,0.757575758,0,0,0,0,0,0,0,0,0,0
22,23.271,58.92,4,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,1.080737444,0,42.21233312,0,0,0,0.699300699,0,0,0,0,0,0.76287349,0.127145582,0,0.127145582,0,0,0,4.640813732,0,0,0.826446281,0,0,0,0.063572791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.542911634,0,0,7.946598856,0,0,0.063572791,0,0,0,0.063572791,0,0,0,0,0,0,0,21.36045772,1.017164654,0,0.953591863,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127145582,0,0,0.445009536,0,0,0.572155118,0,0,0.953591863,0,0,0,0,0,7.183725366,0,0,1.462174189,0.063572791,0,0,0,0,0,0,0,0,0,0.953591863,0,0,0,0,1.716465353,0.699300699,0.317863954,0.381436745,0.063572791,0.572155118
23,22.55,59.517,23,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,3.329065301,0,35.97951344,0,0,0,1.792573624,0,0,0,0,0,0,0.128040973,0,0.128040973,0,0,0,10.75544174,0,0,0.640204866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.408450704,0,0,2.560819462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.13316261,0,0,0.128040973,0,0,0,0,0,0,0,0,0,0,0.256081946,0,0,0.384122919,0,0,0,0,0,0.896286812,0,0,0.768245839,0,1.792573624,0,0,0,19.46222791,0,0,0.384122919,0,0,0,0.128040973,0,0,0,0.128040973,0,0,1.66453265,0,0,0,0,0,0,0,0.896286812,0.128040973,0.128040973
24,22.04,59.664,22,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,0,0,28.59237537,0,0,0,0.293255132,0,0,0,0,0,0,0,0,0,0,0,0,14.36950147,0,0,0.586510264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146627566,0,0,0.293255132,0,0,0,0,0,0,0.146627566,0,0,0,0,0,0,0,20.23460411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439882698,0,0,4.252199413,0,0,0.146627566,0,0,0.293255132,0,29.03225806,0,0,0,0.439882698,0,0,0,0,0,0,0,0,0,0,0.439882698,0,0,0,0,0,0,0,0,0.146627566,0.146627566,0,0,0
25,23.237,57.202,2264,Surface,"Temperate Grasslands, Savannas, and Shrublands",8,Al Hajar montane woodlands,1,0,0,8.472686734,0,0,0,0.501672241,0,0,0,0,0,0,0,0,0.05574136,0,0,0,1.393534002,0,0,2.675585284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22296544,0,0,0,0,0,0.05574136,0,0,0,0,0,0,0,0,34.5039019,0,0,10.25641026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41025641,0,0,0,0,0,0.11148272,0,0,0.11148272,0,0,0,0.11148272,0,7.692307692,0,0,2.675585284,0,0,0,0,0,0,0,0.05574136,0,0,0.334448161,0,0,0,0,24.24749164,0,0,0.11148272,0,0
26,23.237,57.202,2264,Surface,"Temperate Grasslands, Savannas, and Shrublands",8,Al Hajar montane woodlands,1,0,0,14.59566075,0,0,0,1.775147929,0,0,0,0,0,0,0,0,0,0,0,0,3.353057199,0,0,1.775147929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197238659,0,0,0,0,0,0,0,0,0,0,0.197238659,0,0,0,11.43984221,0,0,17.75147929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.08678501,0,0,0,0,0,0.394477318,0,0,0,0,0,0,0.197238659,0,14.99013807,0,0,6.903353057,0,0,0,0,0,0,0,0.197238659,0,0,0.788954635,0,0,0,0,17.15976331,0,0,0.197238659,0,0
27,23.236,57.191,1976,Surface,"Temperate Grasslands, Savannas, and Shrublands",8,Al Hajar montane woodlands,1,0,0,19.47791165,0,0,0,0.602409639,0,0,0,0,0,0,0,0,0,0,0,0,7.02811245,0,0,3.012048193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.630522088,0,0,0,0,0,0.200803213,0,0,0,0,0,0,0,0,8.634538153,0,0,11.24497992,0,0,0.602409639,0,0,0,0,0,0,0,0,0,0,0,0,0,10.04016064,0,0,0,0,0,0.200803213,0,0,0,0,0,0,0,0,12.65060241,0,0,8.43373494,0,0,0,0,0,0,0,0.200803213,0,0,3.815261044,0,0,0,0,4.016064257,0,0,1.004016064,0,1.204819277
28,23.319,58.119,281,Surface,Deserts and Xeric Shrublands,13,Gulf of Oman desert and semi-desert,6,0,0,4.62962963,0,0,0,0.925925926,0,0,0,0,0,0.308641975,0,0,5.24691358,0,0,0,27.77777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.086419753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.27160494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617283951,0,0,0,0,0,0.617283951,0,0,0,0,35.49382716,0,0,0,0.308641975,0,0,6.172839506,0,0,0,0,0,0,0,0.308641975,0,0,1.234567901,0,0,0,0,0,0,0,0,0,0
29,23.02,58.249,695,Surface,"Temperate Grasslands, Savannas, and Shrublands",8,Al Hajar montane woodlands,1,1.162790698,0,17.60797342,0,0,0,0.996677741,0,0,0,0,0,0,0,0,0,0,0,0,6.644518272,0,0,1.993355482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.827242525,0,0,0,0,0,0,0,0,0,5.481727575,0,0,0,0,0.332225914,0,0,15.94684385,0,0,0.332225914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996677741,0,0,0,0,0,0.664451827,0,0,0.830564784,2.657807309,9.634551495,0,0,0,26.57807309,0,0,4.318936877,0,0,0,0,0,0,0,0,0,0,1.661129568,0,0,0,0,0.166112957,0,0.166112957,0,0,0
30,22.495,58.946,324,Surface,"Temperate Grasslands, Savannas, and Shrublands",8,Al Hajar montane woodlands,1,0,0,11.87214612,0,0,0,5.02283105,0,0,0,0,0,0.913242009,3.196347032,0,0,0,0,0,31.05022831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.72146119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.35159817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02283105,0,0,1.826484018,0,0,0,0,0,0,0,0,0.456621005,0,0,1.369863014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456621005,0,0,2.283105023,0.456621005
31,1.1,34.6,3792,Surface,Montane Grasslands and Shrublands,10,East African montane moorlands,5,0,0,0.925925926,0,0,0,0.925925926,0.462962963,0.462962963,0,0,0,0,0,0,0,0,0,0,28.24074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462962963,0,0,0,0,0.462962963,0,0,0,0.462962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.018518519,0,0,7.87037037,37.96296296,0,0,0,11.57407407,0,1.388888889,0,0,0.462962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.851851852,0.462962963,0,0
33,1.1,34.6,3792,Surface,Montane Grasslands and Shrublands,10,East African montane moorlands,5,0,0,0,0,0,0,0.261096606,0,0.261096606,0,0,0,0,0,0,0,0,0.261096606,0,64.22976501,0,0,0,0.783289817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261096606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.872062663,0,0,5.221932115,18.0156658,0,0,0,6.266318538,0,0.522193211,0,0,1.044386423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
